Handle,Title,Option1 Name,Option1 Value,Variant SKU,Variant Price,Image Src,Image Command
silla-carson-fija-trineo-gris,Silla Carson Fija Gris,Title,Default Title,VC308,105000.0,https://vicca.cl/media/catalog/product/s/i/silla_carson_fija_gris_1_vicca.jpg,MERGE
silla-leandra-fija-trineo,Silla Leandra Fija,Title,Default Title,VC310,143500.0,https://vicca.cl/media/catalog/product/0/2/02834dea5499edad0046136459840845-min.jpg,MERGE
taburete-carson-negra,Taburete Carson Negra,Title,Default Title,VC315,65600.0,https://vicca.cl/media/catalog/product/t/a/taburete_carson_negro_1_dise_o_vicca.jpg,MERGE
taburete-carson-verde,Taburete Carson Verde,Title,Default Title,VC316,65600.0,https://vicca.cl/media/catalog/product/t/a/taburete_carson_verde_1_dise_o_vicca.jpg,MERGE
taburete-carson-golden,Taburete Carson Golden,Title,Default Title,VC317,65600.0,https://vicca.cl/media/catalog/product/t/a/taburete_carson_terra_2_dise_o_vicca-min.jpg,MERGE
silla-carson-alta-negra,Silla Carson Alta Negra,Title,Default Title,VC318,135000.0,https://vicca.cl/media/catalog/product/s/i/silla_carson_alta_negra_1_vicca.jpg,MERGE
silla-carson-alta-gris,Silla Carson Alta Gris,Title,Default Title,VC319,136000.0,https://vicca.cl/media/catalog/product/s/i/silla_carson_alta_gris_1_vicca.jpg,MERGE
silla-carson-baja-negra,Silla Carson Baja Negra,Title,Default Title,VC322,128000.0,https://vicca.cl/media/catalog/product/s/i/silla_carson_baja_negra_1_vicca.jpg,MERGE
silla-carson-baja-gris,Silla Carson Baja Gris,Title,Default Title,VC323,128000.0,https://vicca.cl/media/catalog/product/s/i/silla_carson_baja_gris_1_vicca.jpg,MERGE
silla-carson-baja-golden,Silla Carson Baja Golden,Title,Default Title,VC324,128000.0,https://vicca.cl/media/catalog/product/s/i/silla_carson_baja_golden_1_vicca.jpg,MERGE
silla-bishop-baja-cafe,Silla Bishop Baja Cafe,Title,Default Title,VC326,144000.0,https://vicca.cl/media/catalog/product/s/i/silla_bishop_baja_cafe_1_vicca_2.jpg,MERGE
silla-bishop-baja-gris,Silla Bishop Baja Gris,Title,Default Title,VC327,144000.0,https://vicca.cl/media/catalog/product/s/i/silla_bishop_baja_gris_vicca.jpg,MERGE
silla-dsw-estilo-eames-kids-amarilla,Silla Dsw Eames Kids Amarilla,Title,Default Title,VC332,22000.0,https://vicca.cl/media/catalog/product/s/i/silla_dsw_eams_kids_amarilla_1_vicca.jpg,MERGE
silla-bishop-alta-cafe,Silla Bishop Alta Cafe,Title,Default Title,VC337,144000.0,https://vicca.cl/media/catalog/product/s/i/silla_bishop_alta_cafe_1_vicca.jpg,MERGE
taburete-dsw-eames-blanco,Taburete Dsw Eames Blanco,Title,Default Title,VC342,127500.0,https://vicca.cl/media/catalog/product/t/a/taburete_dsw_blanca_1_dise_o_vicca_2.jpg,MERGE
taburete-nest-blanco,Taburete Nest Blanco,Title,Default Title,VC346,99000.0,https://vicca.cl/media/catalog/product/t/a/taburete_nest_blanco_1_dise_o_vicca_2.jpg,MERGE
silla-priamo-alta-negra,Silla Priamo Alta Negra,Title,Default Title,VC348,179900.0,https://vicca.cl/media/catalog/product/s/i/silla_priamo_alta_negra_5_dise_o_oficina_vicca_1.jpg,MERGE
silla-priamo-baja-negra,Silla Priamo Baja Negra,Title,Default Title,VC349,172000.0,https://vicca.cl/media/catalog/product/s/i/silla_priamo_baja_negra_1_dise_o_oficina_vicca.jpg,MERGE
